title
張善政：農曆年後決定是否參選2020，不考慮做藍副手
延攬周錫瑋 吳敦義證實：他將接任國民黨副主席
參選2020思考中！吳敦義強調「在適當時間自然會表態」
邀名人行銷高雄 白冰冰陳文茜任觀光大使
賴清德別走！游錫堃呼籲：現在走對你、對台灣都不好
高市府向蔡英文提3個「必須」 網友酸：以為是國台辦回應
參選2020明朗化？王金平新年新希望：盼為台灣奉獻
蔡阿嘎堂叔！嘉義縣3連霸議員蔡鼎三 來不及宣誓病逝
結婚10年發「空包彈」 韓國瑜靠2招「護氣大法」生韓冰
韓國瑜新年願望竟成真？賽馬產業鏈找到了！
粉絲許怪願！跨年直播粉絲「想脫魯」 柯文哲：自己努力啦
阿嬤誤把龍介比英九？馬英九嘆：我也變老了！
屏東檢方「大掃賄」！對30名當選人提當選無效之訴
高雄跨年80萬人？數據會說話…時代大道最多擠25萬人
韓國瑜沾光…頻收割「蔡政府政績」？業者挺：中央補助奏效
小鮮肉的逆襲？中國網路大軍年紀竟比柯粉小？
網熱議新任縣市長2019誰會自爆？他的爆法網笑翻
人美心也美！神似賈靜雯的美女議員把71萬元全捐了！
「清邁配」出奇制勝？綠委拱陳其邁選2020副總統
中國阻撓台灣一年多達54件 網怒：兩岸一家親個ＸＸＸ
高雄跨年晚會80萬人潮？ 網友精算揭真相：疊羅漢
蔡英文有沒有唱「吾黨所宗」？網友討論超熱烈！
二大一廣場／戰略防禦，是蔡英文元旦講話的重點
《精靈寶可夢GO》將到高雄？基進黨曝真相怒批：先吹再說
川普簽署亞洲再保證倡議法案 總統府表示誠摰感謝
台灣年輕人很愛參加元旦升旗?網妙回：這兩類人
高雄升旗「國旗擺太旁邊」 支持者怒：當選就忘記國旗！
強國新法將上路！往後中國警察執法可「開綠燈」了！
台北跨年「電競」揭幕被罵翻 柯P：考試總有一科不及格
北高捷運量差7倍！高雄跨年80萬挨批「膨風」
賴清德臉書貼文透露留任意味？ 行政院：無法作此評論
洪孟楷參選立委喊世代交替 遭他嗆：有年紀的不是好立委？
畫面美爆！F-16戰機起飛迎元旦曙光！空拍畫面曝光
什麼？王世堅竟是「元旦寶寶」 女網友甜喊「這句話」
高雄開放陸資買房？他曝香港人心聲：再過去就不是家了
台灣國際空間在哪裡？林昶佐：外交不只是把對方當市場
參選2020 吳敦義鬆口了？「他」這樣回答
